image_name,image_path,label_path,label_exists,source_type,box_count,has_objects,box_count_bin,strata,split
photo_001.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_001.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_002.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_002.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_002.txt,True,new_photo,4,True,4+,new_photo__4+,train
photo_003.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_003.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_004.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_004.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_004.txt,True,new_photo,2,True,2-3,new_photo__2-3,train
photo_005.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_005.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_006.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_006.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_006.txt,True,new_photo,1,True,1,new_photo__1,train
photo_007.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_007.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_007.txt,True,new_photo,2,True,2-3,new_photo__2-3,train
photo_010.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_010.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_010.txt,True,new_photo,1,True,1,new_photo__1,train
photo_012.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_012.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_012.txt,True,new_photo,2,True,2-3,new_photo__2-3,train
photo_013.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_013.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_014.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_014.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_014.txt,True,new_photo,1,True,1,new_photo__1,train
photo_016.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_016.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_016.txt,True,new_photo,2,True,2-3,new_photo__2-3,train
photo_017.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_017.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_018.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_018.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_018.txt,True,new_photo,1,True,1,new_photo__1,train
photo_019.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_019.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_019.txt,True,new_photo,1,True,1,new_photo__1,train
photo_020.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_020.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_020.txt,True,new_photo,1,True,1,new_photo__1,train
photo_021.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_021.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_021.txt,True,new_photo,1,True,1,new_photo__1,train
photo_022.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_022.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_022.txt,True,new_photo,1,True,1,new_photo__1,train
photo_023.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_023.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_023.txt,True,new_photo,1,True,1,new_photo__1,train
photo_024.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_024.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_025.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_025.jpg,,False,new_photo,0,False,0,new_photo__0,train
photo_026.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_026.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_026.txt,True,new_photo,1,True,1,new_photo__1,train
photo_028.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_028.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_028.txt,True,new_photo,2,True,2-3,new_photo__2-3,train
photo_030.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/images/train/photo_030.jpg,/home/shiawase/ic8_ai/ad_detection/data/cvat_exports/photo_cv/labels/train/photo_030.txt,True,new_photo,1,True,1,new_photo__1,train
